Tâche; Temps (en ms)
Résolution 1;21
Résolution 2;8
Résolution 3;8
Résolution 4;5
Résolution 5;4
Résolution 6;4
Résolution 7;4
Résolution 8;3
Résolution 9;4
Résolution 10;3
Résolution 11;5
Résolution 12;4
Résolution 13;4
Résolution 14;5
Résolution 15;2
Résolution 16;3
Résolution 17;3
Résolution 18;2
Résolution 19;3
Résolution 20;2
Résolution 21;2
Résolution 22;2
Résolution 23;2
Résolution 24;2
Résolution 25;2
Résolution 26;2
Résolution 27;2
Résolution 28;2
Résolution 29;2
Résolution 30;2
Résolution 31;2
Résolution 32;1
Résolution 33;2
Résolution 34;2
Résolution 35;2
Résolution 36;1
Résolution 37;2
Résolution 38;2
Résolution 39;2
Résolution 40;2
Résolution 41;2
Résolution 42;2
Résolution 43;1
Résolution 44;2
Résolution 45;2
Résolution 46;2
Résolution 47;2
Résolution 48;2
Résolution 49;2
Résolution 50;2
Résolution 51;2
Résolution 52;2
Résolution 53;2
Résolution 54;1
Résolution 55;2
Résolution 56;1
Résolution 57;2
Résolution 58;2
Résolution 59;2
Résolution 60;1
Résolution 61;1
Résolution 62;2
Résolution 63;2
Résolution 64;2
Résolution 65;1
Résolution 66;1
Résolution 67;1
Résolution 68;2
Résolution 69;1
Résolution 70;1
Résolution 71;1
Résolution 72;1
Résolution 73;2
Résolution 74;1
Résolution 75;1
Résolution 76;1
Résolution 77;2
Résolution 78;1
Résolution 79;1
Résolution 80;1
Résolution 81;1
Résolution 82;2
Résolution 83;1
Résolution 84;1
Résolution 85;1
Résolution 86;2
Résolution 87;1
Résolution 88;1
Résolution 89;1
Résolution 90;1
Résolution 91;2
Résolution 92;1
Résolution 93;1
Résolution 94;1
Résolution 95;2
Résolution 96;1
Résolution 97;1
Résolution 98;2
Résolution 99;2
Résolution 100;1
